"Run/Debug","Coverage JUnit Plug-in Test","Alt+Shift+E, P","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"SVN","Update","Ctrl+Alt+U","In Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Project","Build Target Build","Shift+F9","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Web Page Editor Layout","Graphical Designer","Ctrl+Shift+F11","Using Web Page Editor"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"C/C++ Source","Format","Ctrl+Shift+F","C/C++ Editor"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus"
"Refactor - C++","Extract Function - Refactoring ","Alt+Shift+M","C/C++ Editor"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Run/Debug","Coverage SWTBot Test","Alt+Shift+E, S","In Windows"
"C/C++ Source","Go to Next Member","Ctrl+Shift+Down","C/C++ Editor"
"Git","Commit...","Ctrl+#","In Windows"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Terminal view commands","Paste","Ctrl+Shift+V","Terminal Control in Focus"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"C/C++ Source","Open Element","Ctrl+Shift+T","C/C++ Editor"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"C/C++ Source","References","Ctrl+Shift+G","In C/C++ Views"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"SVN","Latest from Repository","Ctrl+Alt+L","In Windows"
"SVN","Merge...","Ctrl+Alt+E","In Windows"
"C/C++ Source","Declaration","Ctrl+G","C/C++ Editor"
"Uncategorized","Copy Commit Id","Ctrl+C","In Git Reflog View"
"Text Editing","Zoom Out","Ctrl+-","Editing Text"
"SVN","Synchronize with Repository","Ctrl+Alt+S","In Windows"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Run/Debug","Coverage JUnit Test","Alt+Shift+E, T","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
